epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3453.89,0.41024,0.26441,1.04758,0.99008,0.99309,0.99018,0.94652,0.32147,0.18243,0.92994,0.006436,0.006436,0.006436
74,3501.04,0.40649,0.27043,1.04372,0.99103,0.99395,0.98905,0.95255,0.31443,0.17486,0.91855,0.0063865,0.0063865,0.0063865
75,3548.55,0.40985,0.26404,1.04857,0.99034,0.99391,0.99126,0.95434,0.30841,0.17117,0.91175,0.006337,0.006337,0.006337
76,3596.04,0.40556,0.26662,1.04127,0.99116,0.99394,0.98892,0.95329,0.31304,0.17263,0.91368,0.0062875,0.0062875,0.0062875
77,3643.47,0.40831,0.26224,1.04249,0.99118,0.99386,0.98928,0.95251,0.31332,0.17064,0.91749,0.006238,0.006238,0.006238
78,3690.58,0.4075,0.26403,1.04544,0.99116,0.99386,0.98904,0.95305,0.31282,0.17481,0.9197,0.0061885,0.0061885,0.0061885
79,3738.06,0.40602,0.25886,1.04417,0.99113,0.99309,0.98917,0.95266,0.31579,0.17537,0.9244,0.006139,0.006139,0.006139
80,3785.4,0.40239,0.26056,1.04491,0.99109,0.99391,0.98816,0.95255,0.3097,0.17246,0.91655,0.0060895,0.0060895,0.0060895
81,3832.91,0.40514,0.26128,1.0425,0.99106,0.99388,0.98895,0.95242,0.31093,0.17332,0.91212,0.00604,0.00604,0.00604
82,3880.43,0.40596,0.26277,1.04536,0.99103,0.99395,0.98947,0.95456,0.31878,0.17428,0.92078,0.0059905,0.0059905,0.0059905
83,3927.86,0.40436,0.26059,1.04299,0.99111,0.99395,0.98914,0.95359,0.30702,0.16915,0.91137,0.005941,0.005941,0.005941
84,3975.13,0.40582,0.26106,1.04066,0.99031,0.99394,0.98981,0.95581,0.30219,0.16975,0.9057,0.0058915,0.0058915,0.0058915
85,4022.36,0.39776,0.25879,1.03447,0.99122,0.99304,0.98962,0.95459,0.31211,0.17316,0.91372,0.005842,0.005842,0.005842
86,4069.6,0.40229,0.26295,1.03565,0.99076,0.99395,0.98721,0.95334,0.31014,0.16936,0.91059,0.0057925,0.0057925,0.0057925
87,4117.08,0.40082,0.25672,1.03539,0.99102,0.99395,0.98893,0.95302,0.3104,0.16937,0.91012,0.005743,0.005743,0.005743
88,4164.36,0.39691,0.25421,1.03312,0.99081,0.99395,0.98962,0.95333,0.31153,0.16718,0.91634,0.0056935,0.0056935,0.0056935
89,4211.59,0.39726,0.25577,1.03483,0.99087,0.993,0.99063,0.95681,0.31108,0.16807,0.91417,0.005644,0.005644,0.005644
90,4258.96,0.39751,0.25818,1.03674,0.99115,0.99382,0.98896,0.95621,0.31011,0.16621,0.91043,0.0055945,0.0055945,0.0055945
91,4306.4,0.39822,0.25602,1.03754,0.99115,0.99309,0.98982,0.95111,0.31706,0.17426,0.92016,0.005545,0.005545,0.005545
92,4354,0.39801,0.25791,1.03402,0.99116,0.99385,0.98906,0.95224,0.30798,0.16503,0.90584,0.0054955,0.0054955,0.0054955
93,4401.39,0.39547,0.24771,1.03277,0.99115,0.99292,0.99015,0.95486,0.30887,0.16868,0.90907,0.005446,0.005446,0.005446
94,4448.63,0.39528,0.25521,1.0321,0.99115,0.99381,0.9887,0.95396,0.30372,0.16146,0.90277,0.0053965,0.0053965,0.0053965
95,4495.99,0.39777,0.25094,1.03462,0.99115,0.99385,0.98934,0.95463,0.31402,0.16634,0.9097,0.005347,0.005347,0.005347
96,4543.32,0.39373,0.25029,1.03052,0.991,0.99395,0.9901,0.95319,0.30913,0.16858,0.90825,0.0052975,0.0052975,0.0052975
97,4590.59,0.39538,0.2485,1.03206,0.99121,0.99382,0.98958,0.95394,0.30655,0.16218,0.90665,0.005248,0.005248,0.005248
98,4638.11,0.39236,0.25345,1.0272,0.99114,0.99386,0.98868,0.95262,0.31056,0.16443,0.90822,0.0051985,0.0051985,0.0051985
99,4685.45,0.39442,0.2488,1.03042,0.99101,0.99373,0.99091,0.9592,0.30567,0.16419,0.90371,0.005149,0.005149,0.005149
100,4732.91,0.39036,0.2495,1.02623,0.9911,0.99381,0.99089,0.95728,0.30873,0.16174,0.90986,0.0050995,0.0050995,0.0050995
101,4780.52,0.38803,0.24633,1.02996,0.99111,0.99309,0.98967,0.9573,0.30584,0.1619,0.90408,0.00505,0.00505,0.00505
102,4827.91,0.3923,0.24742,1.02943,0.99111,0.9939,0.99149,0.9596,0.3017,0.16004,0.90059,0.0050005,0.0050005,0.0050005
103,4875.24,0.39133,0.2444,1.02544,0.9911,0.99386,0.99093,0.95824,0.30391,0.1594,0.90452,0.004951,0.004951,0.004951
104,4922.52,0.39017,0.25081,1.02283,0.99121,0.99389,0.99113,0.95741,0.30327,0.16145,0.90208,0.0049015,0.0049015,0.0049015
105,4969.78,0.38475,0.24534,1.02209,0.99115,0.99391,0.9895,0.95582,0.30537,0.1626,0.90293,0.004852,0.004852,0.004852
106,5017.03,0.38798,0.24622,1.01977,0.9903,0.99384,0.98782,0.95363,0.30861,0.16215,0.90139,0.0048025,0.0048025,0.0048025
107,5064.52,0.38625,0.243,1.02419,0.99113,0.9938,0.99044,0.95945,0.30644,0.16301,0.90453,0.004753,0.004753,0.004753
108,5111.58,0.38968,0.25131,1.02943,0.99089,0.99395,0.99101,0.95606,0.31068,0.16655,0.91362,0.0047035,0.0047035,0.0047035
109,5158.86,0.38555,0.24073,1.02241,0.99115,0.99384,0.99168,0.95959,0.30441,0.16006,0.90364,0.004654,0.004654,0.004654
110,5206.11,0.38732,0.24796,1.02579,0.99114,0.99374,0.98943,0.95588,0.30549,0.16299,0.90538,0.0046045,0.0046045,0.0046045
111,5253.54,0.38391,0.24186,1.0263,0.99119,0.99385,0.98816,0.95537,0.30795,0.16429,0.90943,0.004555,0.004555,0.004555
112,5300.89,0.38767,0.24431,1.02742,0.99109,0.99394,0.98934,0.95657,0.31088,0.1627,0.90932,0.0045055,0.0045055,0.0045055
113,5348.18,0.38636,0.24232,1.02542,0.99114,0.99394,0.98796,0.95652,0.3113,0.15984,0.90968,0.004456,0.004456,0.004456
114,5395.3,0.38492,0.2398,1.02087,0.99116,0.99393,0.99079,0.95899,0.3099,0.16543,0.9093,0.0044065,0.0044065,0.0044065
115,5442.52,0.38394,0.23825,1.02401,0.99108,0.99395,0.99032,0.95833,0.3087,0.16032,0.90959,0.004357,0.004357,0.004357
116,5490,0.38364,0.2383,1.02053,0.99112,0.99395,0.99229,0.96004,0.30582,0.16125,0.90641,0.0043075,0.0043075,0.0043075
117,5537.47,0.38287,0.24514,1.02125,0.99116,0.99395,0.99011,0.95626,0.30765,0.15924,0.90621,0.004258,0.004258,0.004258
118,5584.8,0.38092,0.24129,1.01637,0.99113,0.99395,0.99157,0.9589,0.30812,0.16374,0.90648,0.0042085,0.0042085,0.0042085
119,5632.22,0.38055,0.24198,1.01492,0.99115,0.99395,0.99075,0.95841,0.30944,0.16406,0.90894,0.004159,0.004159,0.004159
120,5679.45,0.38149,0.24138,1.01852,0.99112,0.99395,0.99096,0.95977,0.30656,0.16089,0.90349,0.0041095,0.0041095,0.0041095
121,5726.91,0.3822,0.23971,1.01662,0.99111,0.99395,0.99093,0.96056,0.30211,0.15945,0.89898,0.00406,0.00406,0.00406
122,5774.15,0.37812,0.23526,1.01495,0.99114,0.99392,0.99048,0.96043,0.30393,0.15986,0.90258,0.0040105,0.0040105,0.0040105
123,5821.3,0.3799,0.23744,1.01762,0.99114,0.99389,0.99037,0.96152,0.3034,0.15751,0.90133,0.003961,0.003961,0.003961
124,5868.7,0.37763,0.23778,1.01621,0.99109,0.99395,0.99142,0.96218,0.30288,0.15695,0.90031,0.0039115,0.0039115,0.0039115
125,5916.13,0.37743,0.24501,1.01439,0.99111,0.99395,0.99151,0.96041,0.30052,0.15973,0.89568,0.003862,0.003862,0.003862
126,5963.41,0.37432,0.23527,1.01331,0.99113,0.99395,0.98988,0.95745,0.30182,0.15869,0.89703,0.0038125,0.0038125,0.0038125
127,6010.78,0.37606,0.23564,1.01288,0.99112,0.99395,0.98861,0.95581,0.30325,0.15497,0.89402,0.003763,0.003763,0.003763
128,6058.12,0.37574,0.2331,1.01145,0.99113,0.99395,0.98995,0.95869,0.30476,0.15707,0.89182,0.0037135,0.0037135,0.0037135
129,6105.5,0.37689,0.236,1.01657,0.99111,0.99395,0.99068,0.95888,0.30461,0.15711,0.89835,0.003664,0.003664,0.003664
130,6152.79,0.37376,0.23123,1.01454,0.99111,0.99395,0.99027,0.95995,0.30382,0.15804,0.90032,0.0036145,0.0036145,0.0036145
131,6200.14,0.37734,0.23814,1.01292,0.99112,0.99395,0.98976,0.95954,0.30171,0.15576,0.89937,0.003565,0.003565,0.003565
132,6247.68,0.37696,0.2377,1.0148,0.99111,0.99395,0.99097,0.96009,0.30291,0.15548,0.89977,0.0035155,0.0035155,0.0035155
133,6295.05,0.37778,0.24117,1.02095,0.99111,0.99395,0.99041,0.96119,0.30326,0.15593,0.90112,0.003466,0.003466,0.003466
134,6342.19,0.37385,0.23113,1.01275,0.99111,0.99395,0.98986,0.9599,0.30348,0.15615,0.90188,0.0034165,0.0034165,0.0034165
135,6389.46,0.3712,0.23785,1.01321,0.9911,0.99395,0.98997,0.96076,0.30239,0.15515,0.90163,0.003367,0.003367,0.003367
136,6436.56,0.3699,0.23139,1.01094,0.99111,0.99395,0.99084,0.96143,0.30235,0.15593,0.90014,0.0033175,0.0033175,0.0033175
137,6483.88,0.37132,0.23201,1.01142,0.99112,0.99395,0.99011,0.95927,0.30121,0.1536,0.89955,0.003268,0.003268,0.003268
138,6531.26,0.36842,0.22915,1.01012,0.99113,0.99395,0.98998,0.9592,0.30078,0.1532,0.89827,0.0032185,0.0032185,0.0032185
139,6578.58,0.37188,0.23477,1.01423,0.99115,0.99395,0.99025,0.95949,0.30276,0.15405,0.90024,0.003169,0.003169,0.003169
140,6625.91,0.37054,0.23099,1.00677,0.99118,0.99387,0.99033,0.95915,0.30293,0.15347,0.90067,0.0031195,0.0031195,0.0031195
141,6673.3,0.36636,0.22671,1.00761,0.99117,0.99389,0.99059,0.95995,0.30483,0.15536,0.90244,0.00307,0.00307,0.00307
142,6720.58,0.36914,0.23044,1.00549,0.99113,0.99395,0.99067,0.96138,0.30443,0.15498,0.90049,0.0030205,0.0030205,0.0030205
143,6767.91,0.37023,0.23071,1.01058,0.99114,0.99395,0.99094,0.96114,0.30432,0.1547,0.89926,0.002971,0.002971,0.002971
144,6815.2,0.36971,0.22821,1.00603,0.99113,0.99395,0.99079,0.96186,0.3026,0.1557,0.89766,0.0029215,0.0029215,0.0029215
145,6862.35,0.36776,0.23227,1.00599,0.99111,0.99395,0.99191,0.96308,0.30159,0.15532,0.89714,0.002872,0.002872,0.002872
146,6909.47,0.36445,0.22113,1.00557,0.99109,0.99395,0.99142,0.9631,0.3025,0.15429,0.89889,0.0028225,0.0028225,0.0028225
147,6956.66,0.36436,0.22803,1.00426,0.9911,0.99395,0.99114,0.96254,0.30141,0.15276,0.89889,0.002773,0.002773,0.002773
148,7003.92,0.36514,0.22338,1.00527,0.99111,0.99395,0.99118,0.96285,0.30051,0.15336,0.89853,0.0027235,0.0027235,0.0027235
149,7051.34,0.36663,0.22345,1.00388,0.99108,0.99395,0.99079,0.96338,0.30013,0.15114,0.8969,0.002674,0.002674,0.002674
150,7098.67,0.36261,0.22333,1.00545,0.99109,0.99395,0.99108,0.96294,0.3001,0.15291,0.8983,0.0026245,0.0026245,0.0026245
151,7146.02,0.36465,0.22701,1.00556,0.9911,0.99395,0.99151,0.96264,0.29936,0.15247,0.89825,0.002575,0.002575,0.002575
152,7193.3,0.36123,0.22538,1.00354,0.99113,0.99395,0.99093,0.96255,0.29962,0.15455,0.89895,0.0025255,0.0025255,0.0025255
153,7240.5,0.36074,0.22406,1.00301,0.99111,0.99395,0.99015,0.9628,0.2991,0.15259,0.8988,0.002476,0.002476,0.002476
